date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,net_pnl
2018-04-13,2018-04-13 13:05:00,10477.55,2018-04-13 15:15:00,10478.8,-1,-1.2500,-1.2515
2018-04-16,2018-04-16 09:50:00,10469.4,2018-04-16 15:15:00,10523.3,1,53.9000,53.8353
2018-04-17,2018-04-17 11:35:00,10514.5,2018-04-17 15:15:00,10547.7,-1,-33.2000,-33.2398
2018-04-18,2018-04-18 11:05:00,10569.15,2018-04-18 15:15:00,10531.7,1,-37.4500,-37.4949
2018-04-19,2018-04-19 09:35:00,10564,2018-04-19 15:15:00,10563.35,1,-0.6500,-0.6508
2018-04-20,2018-04-20 15:15:00,10569.25,2018-04-20 15:15:00,10559.9,1,-9.3500,-9.3612
2018-04-23,2018-04-23 09:35:00,10563.9,2018-04-23 15:15:00,10585.8,1,21.9000,21.8737
2018-04-24,2018-04-24 11:00:00,10606.4,2018-04-24 15:15:00,10610.75,1,4.3500,4.3448
2018-04-25,2018-04-25 09:45:00,10594.35,2018-04-25 15:15:00,10571.6,-1,22.7500,22.7227
2018-04-26,2018-04-26 10:35:00,10575.75,2018-04-26 15:15:00,10622.95,-1,-47.2000,-47.2566
2018-04-27,2018-04-27 09:30:00,10697.35,2018-04-27 15:15:00,10693.95,1,-3.4000,-3.4041
2018-04-30,2018-04-30 12:15:00,10756.85,2018-04-30 15:15:00,10738.65,1,-18.2000,-18.2218
2018-05-02,2018-05-02 13:00:00,10763.9,2018-05-02 15:15:00,10724.85,1,-39.0500,-39.0969
2018-05-03,2018-05-03 09:30:00,10684.15,2018-05-03 15:15:00,10675.25,-1,8.9000,8.8893
2018-05-07,2018-05-07 10:30:00,10655.4,2018-05-07 15:15:00,10713.6,1,58.2000,58.1302
2018-05-08,2018-05-08 09:35:00,10728.25,2018-05-08 15:15:00,10715.45,-1,12.8000,12.7846
2018-05-09,2018-05-09 10:25:00,10705.25,2018-05-09 15:15:00,10746.4,-1,-41.1500,-41.1994
