date,entry_price,exit_price,signal,gross_pnl,net_pnl,cum_pnl,running_max,drawdown
2020-04-01,8442.4,8252.05,-1,190.35,190.5784,231.7778,2977.087,-2745.309
2020-04-03,8199.95,8076.05,1,-123.9,-123.7513,108.0265,2977.087,-2869.06
2020-04-08,8822.45,8734.75,1,-87.7,-87.59476,20.43174,2977.087,-2956.655
2020-04-09,9001.2,9115.55,1,114.35,114.2128,134.6445,2977.087,-2842.442
2020-04-13,8949.45,8988.8,-1,-39.35,-39.39722,95.2473,2977.087,-2881.84
2020-04-15,9115.15,8925.35,-1,189.8,190.0278,285.2751,2977.087,-2691.812
2020-04-16,8870.7,8994.95,1,124.25,124.1009,409.376,2977.087,-2567.711
2020-04-17,9296.35,9273.35,1,-23,-22.9724,386.4036,2977.087,-2590.683
2020-04-21,8966.65,8986.1,-1,-19.45,-19.47334,366.9302,2977.087,-2610.157
2020-04-22,8971.4,9188,-1,-216.6,-216.8599,150.0703,2977.087,-2827.017
2020-04-23,9238.2,9315.5,1,77.3,77.20724,227.2775,2977.087,-2749.809
2020-04-24,9149.85,9145,-1,4.85,4.85582,232.1334,2977.087,-2744.954
2020-04-27,9334.7,9284.75,1,-49.95,-49.89006,182.2433,2977.087,-2794.844
2020-04-28,9328.9,9384.35,-1,-55.45,-55.51654,126.7268,2977.087,-2850.36
2020-04-29,9466.45,9552.2,1,85.75,85.6471,212.3739,2977.087,-2764.713
2020-04-30,9804.75,9871.5,1,66.75,66.6699,279.0438,2977.087,-2698.043
2020-05-05,9383.8,9199.05,-1,184.75,184.9717,464.0155,2977.087,-2513.072
2020-05-06,9139.45,9270.65,-1,-131.2,-131.3574,332.658,2977.087,-2644.429
2020-05-07,9196.8,9202.65,-1,-5.85,-5.85702,326.801,2977.087,-2650.286
2020-05-08,9325.3,9248.15,-1,77.15,77.24258,404.0436,2977.087,-2573.043
2020-05-11,9370.9,9241.1,-1,129.8,129.9558,533.9993,2977.087,-2443.088
2020-05-12,9158,9168.95,1,10.95,10.93686,544.9362,2977.087,-2432.151
2020-05-13,9377.9,9387.8,-1,-9.9,-9.91188,535.0243,2977.087,-2442.063
2020-05-14,9268,9136.8,1,-131.2,-131.0426,403.9818,2977.087,-2573.105
2020-05-15,9141.2,9134.75,1,-6.45,-6.44226,397.5395,2977.087,-2579.547
2020-05-19,8892.85,8882.2,-1,10.65,10.66278,408.2023,2977.087,-2568.885
2020-05-20,8931.7,9062.3,-1,-130.6,-130.7567,277.4456,2977.087,-2699.641
2020-05-21,9120.8,9111.9,1,-8.9,-8.88932,268.5562,2977.087,-2708.531
2020-05-22,9114.6,9032.45,1,-82.15,-82.05142,186.5048,2977.087,-2790.582
2020-05-26,9108,9019.65,-1,88.35,88.45602,274.9608,2977.087,-2702.126
2020-05-27,9059.55,9321.25,1,261.7,261.386,536.3468,2977.087,-2440.74
2020-05-28,9395.2,9486.55,1,91.35,91.24038,627.5872,2977.087,-2349.5
2020-05-29,9416.6,9590.3,-1,-173.7,-173.9084,453.6787,2977.087,-2523.408
2020-06-01,9838.6,9830.95,1,-7.65,-7.64082,446.0379,2977.087,-2531.049
2020-06-02,9917.35,9977.3,1,59.95,59.87806,505.916,2977.087,-2471.171
2020-06-03,10149.45,10050.9,1,-98.55,-98.43174,407.4842,2977.087,-2569.603
2020-06-04,10037.7,10025.6,-1,12.1,12.11452,419.5988,2977.087,-2557.488
2020-06-05,10140.3,10138.6,1,-1.7,-1.69796,417.9008,2977.087,-2559.186
2020-06-08,10278.75,10164.2,-1,114.55,114.6875,532.5883,2977.087,-2444.499
2020-06-09,10182.7,10051.75,1,-130.95,-130.7929,401.7954,2977.087,-2575.292
2020-06-10,10110.2,10129.3,1,19.1,19.07708,420.8725,2977.087,-2556.215
2020-06-11,10042.65,9893.65,-1,149,149.1788,570.0513,2977.087,-2407.036
2020-06-12,9712.05,9974.7,1,262.65,262.3348,832.3861,2977.087,-2144.701
2020-06-15,9867.35,9810.25,-1,57.1,57.16852,889.5546,2977.087,-2087.532
2020-06-16,9981.45,9915.35,-1,66.1,66.17932,955.7339,2977.087,-2021.353
2020-06-17,9926.7,9881.1,1,-45.6,-45.54528,910.1887,2977.087,-2066.898
2020-06-18,9902.65,10082.95,1,180.3,180.0836,1090.272,2977.087,-1886.815
2020-06-19,10165.05,10249.75,1,84.7,84.59836,1174.871,2977.087,-1802.216
2020-06-22,10369.85,10317.55,1,-52.3,-52.23724,1122.633,2977.087,-1854.454
2020-06-23,10337.75,10469.35,-1,-131.6,-131.7579,990.8755,2977.087,-1986.211
2020-06-24,10536.55,10302.25,1,-234.3,-234.0188,756.8567,2977.087,-2220.23
2020-06-25,10227.2,10284.6,-1,-57.4,-57.46888,699.3878,2977.087,-2277.699
2020-06-26,10398,10379.3,1,-18.7,-18.67756,680.7102,2977.087,-2296.377
2020-06-29,10326.3,10326.05,1,-0.25,-0.2497,680.4605,2977.087,-2296.626
2020-06-30,10392.85,10301.85,1,-91,-90.8908,589.5697,2977.087,-2387.517
2020-07-01,10344.8,10436.4,1,91.6,91.49008,681.0598,2977.087,-2296.027
2020-07-02,10529.4,10546.55,1,17.15,17.12942,698.1892,2977.087,-2278.898
2020-07-03,10591.45,10606.75,-1,-15.3,-15.31836,682.8709,2977.087,-2294.216
2020-07-07,10767.75,10797.3,-1,-29.55,-29.58546,653.2854,2977.087,-2323.802
2020-07-08,10842.5,10708.85,1,-133.65,-133.4896,519.7958,2977.087,-2457.291
2020-07-10,10795.2,10761.1,1,-34.1,-34.05908,485.7367,2977.087,-2491.35
2020-07-13,10880.3,10796.5,1,-83.8,-83.69944,402.0373,2977.087,-2575.05
2020-07-14,10706,10610.3,-1,95.7,95.81484,497.8521,2977.087,-2479.235
2020-07-15,10738.05,10600.2,1,-137.85,-137.6846,360.1675,2977.087,-2616.919
2020-07-17,10809.65,10900.9,1,91.25,91.1405,451.308,2977.087,-2525.779
2020-07-20,11014.95,11032.2,1,17.25,17.2293,468.5373,2977.087,-2508.55
2020-07-21,11160.3,11164.7,1,4.4,4.39472,472.932,2977.087,-2504.155
2020-07-22,11161.8,11133.9,1,-27.9,-27.86652,445.0655,2977.087,-2532.021
2020-07-23,11172.85,11213.1,1,40.25,40.2017,485.2672,2977.087,-2491.82
2020-07-24,11165.8,11202.8,1,37,36.9556,522.2228,2977.087,-2454.864
2020-07-27,11134.4,11127.5,-1,6.9,6.90828,529.1311,2977.087,-2447.956
2020-07-28,11212.5,11301.9,1,89.4,89.29272,618.4238,2977.087,-2358.663
